"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
current_drug_use,case_report_form,"Drug Use History",dropdown,"Current Drug use","0, No | 1, Yes | 2, Never",,,,,,,,,,,,
date_stopped_drug_use,case_report_form,,text,"Date Stopped drug use",,"Enter year only",number,1900,2500,,"[current_drug_use] = '0'",,,,,,
age_first_used_drug,case_report_form,,text,"Age first used drug",,,,,,,"[current_drug_use] = '0'",,,,,,
date_last_used_drugs,case_report_form,,text,"Date last used drugs",,"Enter year only",number,1900,2500,,,,,,,,
drug_use_and_hiv_status,case_report_form,,dropdown,"Drug Use and HIV Status","0, Used before HIV+ | 1, Used before and after HIV+ | 2, Used after HIV+",,,,,,"[current_drug_use] = '0' or [current_drug_use] = '1'",,,,,,
drugs_used,case_report_form,,checkbox,"Drugs used","0, Marijuana | 1, Cocaine (crack, nasal, smoke, inject) | 2, Heroin (nasal, inject) | 3, Methamphetamine (smoke, nasal, inject) | 4, Benzodiazapine (i.e. valium, ativan, xanax, klonipin, etc) | 5, Narcotics | 6, Ecstasy | 7, PCP | 8, Ritalin | 9, Other | 10, none",,,,,,,,,,,,
designation_of_other_drug,case_report_form,,text,"Designation of ""other"" drug use",,,,,,,"[drugs_used(9)] = '1'",,,,,,
specimen_collection,case_report_form,,checkbox,"Specimen Collection","0, urine | 1, hair follicles | 3, blood only",,,,,,,,,,,,
amphetamine,case_report_form,,radio,Amphetamine,"0, Positive | 1, Negative",,,,,,,,,,,,
amphetamines_urine,case_report_form,"Urine Drug Test Results",dropdown,Amphetamines,"0, test negative | 1, test positive",,,,,,,,,,,,
barbiturates_urine,case_report_form,,dropdown,Barbiturates,"0, test negative | 1, test positive",,,,,,,,,,,,
benzodiazepines_urine,case_report_form,,dropdown,Benzodiazepines,"0, test negative | 1, test positive",,,,,,,,,,,,
buprenorphine_urine,case_report_form,,dropdown,Buprenorphine,"0, test negative | 1, test positive",,,,,,,,,,,,
cocaine_metabolite_urine,case_report_form,,dropdown,"Cocaine + metabolite","0, test negative | 1, test positive",,,,,,,,,,,,
methamphetamine_urine,case_report_form,,dropdown,Methamphetamine,"0, test negative | 1, test positive",,,,,,,,,,,,
ecstasy_urine,case_report_form,,dropdown,Ecstasy,"0, test negative | 1, test positive",,,,,,,,,,,,
opiates_2,case_report_form,,dropdown,Opiates,"0, test negative | 1, test positive",,,,,,,,,,,,
methadone_urine,case_report_form,,dropdown,Methadone,"0, test negative | 1, test positive",,,,,,,,,,,,
oxycodone_urine,case_report_form,,dropdown,Oxycodone,"0, test negative | 1, test positive",,,,,,,,,,,,
pcp_urine,case_report_form,,dropdown,PCP,"0, test negative | 1, test positive",,,,,,,,,,,,
propoxyphene_urine,case_report_form,,dropdown,Propoxyphene,"0, test negative | 1, test positive",,,,,,,,,,,,
antidepressants_urine,case_report_form,,dropdown,Antidepressants,"0, test negative | 1, test positive",,,,,,,,,,,,
cannabinoid_urine,case_report_form,,dropdown,"Marijuana (cannabinoids/THC)","0, test negative | 1, test positive",,,,,,,,,,,,
amphetamines,case_report_form,"Blood Drug Test Results",dropdown,Amphetamines,"0, test negative | 1, test positive",,,,,,,,,,,,
barbiturates,case_report_form,,dropdown,Barbiturates,"0, test negative | 1, test positive",,,,,,,,,,,,
benzodiazepines,case_report_form,,dropdown,Benzodiazepines,"0, test negative | 1, test positive",,,,,,,,,,,,
cannabinoid,case_report_form,,dropdown,Cannabinoid,"0, test negative | 1, test positive",,,,,,,,,,,,
cocaine_metabolite,case_report_form,,dropdown,"Cocaine + metabolite","0, test negative | 1, test positive",,,,,,,,,,,,
opiates,case_report_form,,dropdown,Opiates,"0, test negative | 1, test positive",,,,,,,,,,,,
phencyclidine,case_report_form,,dropdown,Phencyclidine,"0, test negative | 1, test positive",,,,,,,,,,,,
user_designation,case_report_form,,dropdown,"User designation","0, non-user | 1, cocaine only user | 2, cannabinoid only user | 3, multi-drug user | 4, other",,,,,,,,,,,,
pregnant,case_report_form,"Pregnancy History",dropdown,Pregnant,"0, No | 1, Yes | 2, N/A",,,,,,,,,,,,
estimated_due_date,case_report_form,,text,"Estimated due date",,,,,,,"[pregnant] = '1'",,,,,,
hiv_seropositive_date,case_report_form,"HIV History",text,"HIV seropositive date",,"Enter year only",number,1900,2500,,,,,,,,
years_seropositive,case_report_form,,text,"Years seropositive",,,,,,,,,,,,,
how_obtained_hiv_seroposit,case_report_form,,checkbox,"How obtained HIV seropositive date","0, verbal | 1, medical records",,,,,,,,,,,,
likely_location_of_infecti,case_report_form,,text,"Likely location of infection",,,,,,,,,,,,,
dates_of_all_past_negative,case_report_form,,text,"Dates of all past negative HIV-1 tests",,,,,,,,,,,,,
dsg_lowest,case_report_form,,text,"DSG lowest",,,,,,,,,,,,,
dsg_today,case_report_form,,text,"DSG today",,,,,,,,,,,,,
initial_cd4_count_cells_ul,case_report_form,,text,"Initial CD4 count (cells/uL)",,,,,,,,,,,,,
date_of_initial_cd4_count,case_report_form,,text,"Date of initial CD4 count",,,date_ymd,,,,,,,,,,
initial_cd4_count_informat,case_report_form,,text,"Initial CD4 count information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
nadir_cd4_count_with_date,case_report_form,,text,"Nadir CD4 count (cells/uL)",,,,,,,,,,,,,
date_of_nadir_cd4_count,case_report_form,,text,"Date of nadir CD4 count",,,date_ymd,,,,,,,,,,
nadir_cd4_count_informatio,case_report_form,,text,"Nadir CD4 count information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_cd4_count_cells_ul,case_report_form,,text,"Latest CD4 count (cells/uL) - ALLSCRIPTS",,,,,,,,,,,,,
date_of_latest_cd4_count,case_report_form,,text,"Date of latest CD4 count - ALLSCRIPTS",,,date_ymd,,,,,,,,,,
latest_cd4_count_informati,case_report_form,,text,"Latest CD4 count information source - ALLSCRIPTS",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_cd4_count_date_matc,case_report_form,,text,"Latest CD4 count - DATE MATCHED",,,,,,,,,,,,,
date_latest_cd4_date_match,case_report_form,,text,"Date of latest CD4 count - DATE MATCHED",,,,,,,,,,,,,
latest_cd4_info_date_match,case_report_form,,text,"Latest CD4 count information source - DATE MATCHED",,,,,,,,,,,,,
initial_cd8_count_cells_ul,case_report_form,,text,"Initial CD8 count (cells/uL)",,,,,,,,,,,,,
date_of_initial_cd8_count,case_report_form,,text,"Date of initial CD8 count",,,date_ymd,,,,,,,,,,
initial_cd8_information_so,case_report_form,,text,"Initial CD8 information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
nadir_cd8_count_cells_ul,case_report_form,,text,"Nadir CD8 count (cells/uL)",,,,,,,,,,,,,
date_of_nadir_cd8_count,case_report_form,,text,"Date of nadir CD8 count",,,date_ymd,,,,,,,,,,
nadir_cd8_information_sour,case_report_form,,text,"Nadir CD8 information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_cd8_count_cells_ul,case_report_form,,text,"Latest CD8 count (cells/uL) - ALLSCRIPTS",,,,,,,,,,,,,
date_of_latest_cd8_count,case_report_form,,text,"Date of latest CD8 count - ALLSCRIPTS",,,date_ymd,,,,,,,,,,
latest_cd8_information_sou,case_report_form,,text,"Latest CD8 information source - ALLSCRIPTS",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_cd8_count_date_matc,case_report_form,,text,"Latest CD8 count - DATE MATCHED",,,,,,,,,,,,,
date_latest_cd8_date_match,case_report_form,,text,"Date of latest CD8 count - DATE MATCHED",,,,,,,,,,,,,
latest_cd8_info_date_match,case_report_form,,text,"Latest CD8 count information source - DATE MATCHED",,,,,,,,,,,,,
initial_viral_load_copies,case_report_form,,text,"Initial viral load (copies/mL)",,,,,,,,,,,,,
date_of_initial_viral_load,case_report_form,,text,"Date of initial viral load",,,date_ymd,,,,,,,,,,
initial_viral_load_informa,case_report_form,,text,"Initial viral load information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
peak_viral_load_copies_ml,case_report_form,,text,"Peak viral load (copies/mL)",,,,,,,,,,,,,
date_of_peak_viral_load,case_report_form,,text,"Date of peak viral load",,,date_ymd,,,,,,,,,,
peak_viral_load_informatio,case_report_form,,text,"Peak viral load information source",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_viral_load,case_report_form,,text,"Latest viral load - ALLSCRIPTS",,,,,,,,,,,,,
date_of_latest_viral_load,case_report_form,,text,"Date of latest viral load - ALLSCRIPTS",,,date_ymd,,,,,,,,,,
latest_viral_load_informat,case_report_form,,text,"Latest viral load information source - ALLSCRIPTS",,"ie Allscripts, medical chart, etc",,,,,,,,,,,
latest_viral_load_date_mat,case_report_form,,text,"Latest viral load - DATE MATCHED",,,,,,,,,,,,,
date_latest_viral_date_mat,case_report_form,,text,"Date of latest viral load - DATE MATCHED",,,,,,,,,,,,,
latest_viral_info_date_mat,case_report_form,,text,"Latest viral load information source - DATE MATCHED",,,,,,,,,,,,,
current_art_status,case_report_form,,dropdown,"Current ART status","0, on | 1, non-adherent | 2, off | 3, naive",,,,,,,,,,,,
date_first_began_haart,case_report_form,,text,"Date first began HAART",,,date_ymd,,,,,,,,,,
current_art,case_report_form,,checkbox,"Current ART","0, AZT | 1, Abacavir (ABC) | 2, Delviridine (DVL) | 3, Atazanavir (ATV) | 4, Enfuvirtide (T-20/ENF) | 5, Lamivudine (3TC) | 6, Tenofovir (TDF) | 7, Saquinavir (SAQ) | 8, AMP | 9, Fosamprenavir (FPV) | 10, Didanosine (DDI) | 11, Emtricitabine (FTC) | 12, Ritonavir (RTV) | 13, Lopinavir/ritonavir (LPV/r) | 14, Zalcitabine (dideoxycytidine - DDC) | 15, Efavirenz (EFV) | 16, NFL | 17, Tipranavir (TPV) | 18, Stavudine (D4T) | 19, Nevirapine (NVP) | 20, Indinavir (IDV) | 21, Darunavir (DRV) | 22, Combivir | 23, Trizivir | 24, Kaletra | 25, Epzicom | 26, Truvada | 27, Atripla | 28, Other | 29, none | 30, ND | 31, Rilpivirine (RPV) | 32, Nelfinavir (NFV) | 33, Maraviroc (MVC) | 34, Atazanavir (ATV) | 35, Dolutegravir (DTG) | 36, Raltegravir (RAL) | 37, Darunavir (DRV) | 38, Etravirine (ETR) | 39, Cobicistat (c) | 40, Juluca | 41, Descovy | 42, Complera | 43, Triumeq | 44, Genvoya | 45, Evotaz | 46, Stribild | 47, Prezcobix | 48, Odefsey | 49, Biktarvy",,,,,,,,,,,,
define_other_selection_for,case_report_form,,notes,"Define ""other"" selection for current ART",,,,,,,"[current_art(28)] = '1'",,,,,,
past_art,case_report_form,,checkbox,"Past ART","0, AZT | 1, Abacavir (ABC) | 2, Delviridine (DVL) | 3, Atazanavir (ATV) | 4, Enfuvirtide (T-20/ENF) | 5, Lamivudine (3TC) | 6, Tenofovir (TDF) | 7, Saquinavir (SAQ) | 8, AMP | 9, Fosamprenavir (FPV) | 10, Didanosine (DDI) | 11, Emtricitabine (FTC) | 12, Ritonavir (RTV) | 13, Lopinavir/ritonavir (LPV/r) | 14, Zalcitabine (dideoxycytidine - DDC) | 15, Efavirenz (EFV) | 16, NFL | 17, Tipranavir (TPV) | 18, Stavudine (D4T) | 19, Nevirapine (NVP) | 20, Indinavir (IDV) | 21, Darunavir (DRV) | 22, Combivir | 23, Trizivir | 24, Kaletra | 25, Epzicom | 26, Truvada | 27, Atripla | 28, Other | 29, none | 30, ND | 31, Rilpivirine (RPV) | 32, Nelfinavir (NFV) | 33, Maraviroc (MVC) | 34, Atazanavir (ATV) | 35, Dolutegravir (DTG) | 36, Raltegravir (RAL) | 37, Darunavir (DRV) | 38, Etravirine (ETR) | 39, Cobicistat (c) | 40, Juluca | 41, Descovy | 42, Complera | 43, Triumeq | 44, Genvoya | 45, Evotaz | 46, Stribild | 47, Prezcobix | 48, Odefsey | 49, Biktarvy",,,,,,,,,,,,
define_other_selection_pas,case_report_form,,notes,"Define ""other"" selection for past ART",,,,,,,"[past_art(28)] = '1'",,,,,,
list_any_drug_resistance,case_report_form,,notes,"List any drug resistance",,,,,,,,,,,,,
if_drug_treatment_stopped,case_report_form,,notes,"If drug treatment stopped, why was it stopped (resistance, toxicity, etc).",,,,,,,,,,,,,
date_of_patients_most_rece,case_report_form,"Complete blood count (CBC) and chemistry blood tests",text,"Date of patients most recent CBC test",,,date_ymd,,,,,,,,,,
red_blood_cell_count_date,case_report_form,,text,"Red blood cell count date",,,date_ymd,,,,,,,,,,
red_blood_cell_count_resul,case_report_form,,text,"Red blood cell count result",,,,,,,,,,,,,
hemoglobin_date,case_report_form,,text,"Hemoglobin date",,,date_ymd,,,,,,,,,,
hemoglobin_results,case_report_form,,text,"Hemoglobin results",,,,,,,,,,,,,
hematocrit_date,case_report_form,,text,"Hematocrit date",,,date_ymd,,,,,,,,,,
hematocrit_results,case_report_form,,text,"Hematocrit results",,,,,,,,,,,,,
red_blood_cell_indices_dat,case_report_form,,text,"Red blood cell indices date",,,date_ymd,,,,,,,,,,
red_blood_cells_indices_re,case_report_form,,text,"Red blood cells indices results",,,,,,,,,,,,,
mean_corpuscular_hemoglobi,case_report_form,,text,"Mean corpuscular hemoglobin date",,,date_ymd,,,,,,,,,,
mean_corpr_hemo_results,case_report_form,,text,"Mean corpuscular hemoglobin results",,,,,,,,,,,,,
mean_corpr_hemo_conc_date,case_report_form,,text,"Mean corpuscular hemoglobin concentration date",,,date_ymd,,,,,,,,,,
mean_corp_hemo_conc_res,case_report_form,,text,"Mean corpuscular hemoglobin concentration results",,,,,,,,,,,,,
red_blood_cell_distributio,case_report_form,,text,"Red blood cell distribution date",,,date_ymd,,,,,,,,,,
red_blood_cell_dist_date,case_report_form,,text,"Red blood cell distribution results",,,,,,,,,,,,,
white_blood_cell_count_dat,case_report_form,,text,"White blood cell count date",,,date_ymd,,,,,,,,,,
white_blood_cell_count_res,case_report_form,,text,"White blood cell count results",,,,,,,,,,,,,
differential_count_date,case_report_form,,text,"Differential count date",,,date_ymd,,,,,,,,,,
differential_count_results,case_report_form,,text,"Differential count results",,,,,,,,,,,,,
platelet_count_date,case_report_form,,text,"Platelet count date",,,date_ymd,,,,,,,,,,
platelet_count_results,case_report_form,,text,"Platelet count results",,,,,,,,,,,,,
creatinine_date,case_report_form,,text,"Creatinine date",,,date_ymd,,,,,,,,,,
creatinine_results,case_report_form,,text,"Creatinine results",,,,,,,,,,,,,
bun_date,case_report_form,,text,"BUN date",,,date_ymd,,,,,,,,,,
bun_results,case_report_form,,text,"BUN results",,,,,,,,,,,,,
bilirubin_date,case_report_form,,text,"Bilirubin date",,,date_ymd,,,,,,,,,,
bilirubin_results,case_report_form,,text,"Bilirubin results",,,,,,,,,,,,,
random_blood_glucose_date,case_report_form,,text,"Random blood glucose level date",,,date_ymd,,,,,,,,,,
random_blood_glucose_result,case_report_form,,text,"Random blood glucose level results",,,,,,,,,,,,,
glucose_tolerance_test_dat,case_report_form,,text,"Glucose tolerance test date",,,date_ymd,,,,,,,,,,
glucose_tolerance_results,case_report_form,,text,"Glucose tolerance test results",,,,,,,,,,,,,
fasting_glucose_level_date,case_report_form,,text,"Fasting glucose level date",,,date_ymd,,,,,,,,,,
fasting_glucose_level_resu,case_report_form,,text,"Fasting glucose level results",,,,,,,,,,,,,
glycohemoglubin_a1c_date,case_report_form,,text,"Glycohemoglubin A1c date",,,date_ymd,,,,,,,,,,
glycohemoglobin_a1c_result,case_report_form,,text,"Glycohemoglobin A1c results",,,,,,,,,,,,,
hepatitis_b_status,case_report_form,Coinfections,dropdown,"Hepatitis B status (HBV)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
date_of_hbv_test,case_report_form,,text,"Date of HBV test",,,date_ymd,,,,,,,,,,
year_diagnosed_hbv_positiv,case_report_form,,text,"Year diagnosed HBV positive",,"Enter year only",number,1900,2500,,"[hepatitis_b_status] = '1'",,,,,,
if_positive_hbv_viral_load,case_report_form,,text,"If positive, HBV viral load measurement",,,,,,,"[hepatitis_b_status] = '1'",,,,,,
hepatitis_c_status,case_report_form,,dropdown,"Hepatitis C status (HCV)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
date_of_hcv_test,case_report_form,,text,"Date of HCV test",,,date_ymd,,,,,,,,,,
year_diagnosed_hcv_positiv,case_report_form,,text,"Year diagnosed HCV positive",,"Enter year only",number,1900,2500,,"[hepatitis_c_status] = '1'",,,,,,
if_positive_hcv_viral_load,case_report_form,,text,"If positive, HCV viral load measurement",,,,,,,"[hepatitis_c_status] = '1'",,,,,,
cytomegalovirus,case_report_form,,dropdown,"Cytomegalovirus (CMV)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
year_diagnosed_positive_wi,case_report_form,,text,"Year diagnosed CMV positive",,"Enter year only",number,1900,2500,,"[cytomegalovirus] = '1'",,,,,,
human_papillomavirus_hpv,case_report_form,,dropdown,"Human Papillomavirus (HPV)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
year_diagnosed_hpv_positiv,case_report_form,,text,"Year diagnosed HPV positive",,"Enter year only",number,1900,2500,,"[human_papillomavirus_hpv] = '1'",,,,,,
herpes_simplex_virus_type,case_report_form,,dropdown,"Herpes Simplex Virus Type 1 (HSV 1)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
year_diagnosed_hsv_1_posit,case_report_form,,text,"Year diagnosed HSV 1 positive",,"Enter year only",number,1900,2500,,"[herpes_simplex_virus_type] = '1'",,,,,,
herpes_simplex_virus_2,case_report_form,,dropdown,"Herpes Simplex Virus Type 2 (HSV 2)","0, negative | 1, positive | 2, ND",,,,,,,,,,,,
year_diagnosed_hsv_2_posit,case_report_form,,text,"Year diagnosed HSV 2 positive",,"Enter year only",number,1900,2500,,"[herpes_simplex_virus_2] = '1'",,,,,,
tuberculosis,case_report_form,,dropdown,Tuberculosis,"0, negative | 1, positive | 2, ND",,,,,,,,,,,,
year_diagnosed_tuberculosi,case_report_form,,text,"Year diagnosed tuberculosis positive",,"Enter year only",number,1900,2500,,"[tuberculosis] = '1'",,,,,,
hypertension,case_report_form,Comorbidities,dropdown,Hypertension,"0, no | 1, yes | 2, ND",,,,,,,,,,,,
year_diagnosed_with_hypert,case_report_form,,text,"Year diagnosed with hypertension",,"Enter year only",number,1900,2500,,"[hypertension] = '1'",,,,,,
diabetes,case_report_form,,dropdown,Diabetes,"0, no | 1, yes | 2, ND",,,,,,,,,,,,
year_diagnosed_with_diabet,case_report_form,,text,"Year diagnosed with diabetes",,"Enter year only",number,1900,2500,,"[diabetes] = '1'",,,,,,
elevated_lipids,case_report_form,,dropdown,"Elevated lipids","0, no | 1, yes | 2, ND",,,,,,,,,,,,
year_diagnosed_with_elevat,case_report_form,,text,"Year diagnosed with elevated lipids",,"Enter year only",number,1900,2500,,"[elevated_lipids] = '1'",,,,,,
asthma,case_report_form,,dropdown,Asthma,"0, no | 1, yes | 2, ND",,,,,,,,,,,,
year_diagnosed_with_asthma,case_report_form,,text,"Year diagnosed with asthma",,"Enter year only",number,1900,2500,,"[asthma] = '1'",,,,,,
chronic_obstructive_pulmon,case_report_form,,dropdown,"Chronic obstructive pulmonary disease (COPD)","0, no | 1, yes | 2, ND",,,,,,,,,,,,
year_diagnosed_with_copd,case_report_form,,text,"Year diagnosed with COPD",,"Enter year only",number,1900,2500,,"[chronic_obstructive_pulmon] = '1'",,,,,,
aids_defining_indicators,case_report_form,,checkbox,"Current AIDS defining indicators","0, Candidiasis of bronchi, trachea, or lungs | 1, Candidiasis, esophageal | 2, Cervical cancer, invasive | 3, Coccidioidomycosis, disseminated | 4, Cryptococcosis, extrapulmonary | 5, Cryptosporidiosis, chronic intestinal (>1 month duration) | 6, Cytomegalovirus disease- other than liver, spleen, or lymph nodes | 7, Cytomegalovirus retinitis (with loss of vision) | 8, Encephalopathy, HIV-related | 9, Herpes simplex: chronic ulcer(s) (>1 mo. duration) or bronchitis, pneumonitis, or esophagitis | 10, Histoplasmosis, disseminated | 11, Isosporiasis, chronic intestinal (>1 month duration) | 12, Kaposi's sarcoma | 13, Lymphoma, Burkitt's | 14, Lymphoma, immunoblastic | 15, Lymphoma, primary, of brain (primary central nervous system lymphoma) | 16, Mycobacterium avium complex or disease caused by M. Kansasii, disseminated | 17, Disease caused by Mycobacterium tuberculosis, any site (pulmonary or extrapulmonary) | 18, Disease caused by Mycobacterium, other species or unidentified species, disseminated | 19, Pneumocystis carinii pneumonia | 20, Pneumonia, recurrent | 21, Progressive multifocal leukoencephalopathy | 22, Salmonella septicemia, recurrent | 23, Toxoplasmosis of brain (encephalitis) | 24, Wasting syndrome caused by HIV infection | 25, Other | 26, none",,,,,,,,,,,,
date_resolved_candidiasis,case_report_form,,text,"Date diagnosed: Candidiasis of bronchi, trachea, or lungs",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(0)] = '1'",,,,,,
date_resolved_candid_eso,case_report_form,,text,"Date diagnosed: Candidiasis, esophageal",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(1)] = '1'",,,,,,
date_diagnosed_cervical_ca,case_report_form,,text,"Date diagnosed: Cervical Cancer, invasive",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(2)] = '1'",,,,,,
date_diagnosed_coccidioido,case_report_form,,text,"Date diagnosed: Coccidioidomycosis, disseminated",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(3)] = '1'",,,,,,
cryptococcosis_extrapulmon,case_report_form,,text,"Date diagnosed: Cryptococcosis, extrapulmonary",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(4)] = '1'",,,,,,
date_resolved_crypotospori,case_report_form,,text,"Date diagnosed: Crypotosporidiosis, chronic intestinal (>1 month duration)",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(5)] = '1'",,,,,,
date_diagnosed_cytomeg_dis,case_report_form,,text,"Date diagnosed: Cytomegalovirus disease- other than liver, spleen, or lymph nodes",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(6)] = '1'",,,,,,
date_diagnosed_cytomeg_ret,case_report_form,,text,"Date diagnosed: Cytomegalovirus retinitis (with loss of vision)",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(7)] = '1'",,,,,,
date_diagnosed_encephalopa,case_report_form,,text,"Date diagnosed: Encephalopathy, HIV-related",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(8)] = '1'",,,,,,
date_diagnosed_herpes_simp,case_report_form,,text,"Date diagnosed: Herpes simplex, chronic ulcer(s) (>1 mo. duration) or bronchitis, pneumonitis, or esophagitis",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(9)] = '1'",,,,,,
date_diagnosed_histoplasmo,case_report_form,,text,"Date diagnosed: Histoplasmosis, disseminated",,"Enter year only",number,1900,2500,,"[aids_defining_indicators(10)] = '1'",,,,,,
